group_a	group_b	label	use_t_eff
stress_10_T2h	control_25_T2h	stress_10_T2h_vs_control_25_T2h	0
stress_10_T1d	control_25_T1d	stress_10_T1d_vs_control_25_T1d	0
stress_10_T3d	control_25_T3d	stress_10_T3d_vs_control_25_T3d	0
stress_10_T7d	control_25_T7d	stress_10_T7d_vs_control_25_T7d	0
recovery_from_10_T6h	control_25_T7d	recovery_from_10_T6h_vs_control_25_T7d	1
recovery_from_10_T1d	control_25_T8d	recovery_from_10_T1d_vs_control_25_T8d	1
recovery_from_10_T3d	control_25_T10d	recovery_from_10_T3d_vs_control_25_T10d	1
recovery_from_10_T7d	control_25_T14d	recovery_from_10_T7d_vs_control_25_T14d	1
stress_35_T2h	control_25_T2h	stress_35_T2h_vs_control_25_T2h	0
stress_35_T1d	control_25_T1d	stress_35_T1d_vs_control_25_T1d	0
stress_35_T3d	control_25_T3d	stress_35_T3d_vs_control_25_T3d	0
stress_35_T7d	control_25_T7d	stress_35_T7d_vs_control_25_T7d	0
recovery_from_35_T6h	control_25_T7d	recovery_from_35_T6h_vs_control_25_T7d	1
recovery_from_35_T1d	control_25_T8d	recovery_from_35_T1d_vs_control_25_T8d	1
recovery_from_35_T3d	control_25_T10d	recovery_from_35_T3d_vs_control_25_T10d	1
recovery_from_35_T7d	control_25_T14d	recovery_from_35_T7d_vs_control_25_T14d	1
